_id,,,,,,ENG110,ENG105,ENG106,MAT111,MAT121,MAT225,MAT224,MAT221,BLL101,PHY110,PHY110L,CHE101,SOC101,ECN200,BDS102,MGT301,ACN201,LFE201,EEE110,EEE110L,EEE210,EEE210L,CSE101,CSE115,CSE115L,CSE225,CSE225L,CSE213,CSE213L,CSE311,CSE311L,CSE329,CSE329L,CSE317,CSE111,CSE205,CSE205L,CSE305,CSE305L,CSE341,CSE341L,CSE331,CSE331L,CSE330,CSE330L,CSE340,CSE340L,CSE413,CSE413L,CSE445,CSE445L,CSE435,CSE435L,CSE321,CSE471,CSE498,CSE406,CSE425,CSE452,CSE421,EEE415,If you completed any other optional course except the above [add the course code and title]
19302020,,,,,,19302020,,19302020,19302020,19302020,19302020,,,,19302020,19302020,,,,,,,,19302020,19302020,,,19302020,19302020,19302020,19302020,19302020,,,,,,,,19302020,19302020,19302020,,,,,,,,,,,,,,,,,,,,,,,,,
19302016,,,,,,19302016,19302016,19302016,19302016,19302016,19302016,19302016,,19302016,19302016,19302016,19302016,,19302016,19302016,,19302016,,19302016,19302016,19302016,19302016,19302016,19302016,19302016,19302016,19302016,19302016,19302016,,,,,,19302016,19302016,19302016,19302016,19302016,,,19302016,19302016,19302016,19302016,,,,,,,,,19302016,,,,,,,,
19302014,,,,,,19302014,,19302014,19302014,19302014,19302014,19302014,19302014,19302014,19302014,19302014,19302014,,19302014,19302014,,19302014,,19302014,19302014,19302014,19302014,19302014,19302014,19302014,19302014,19302014,19302014,19302014,,,,,,19302014,19302014,19302014,19302014,19302014,19302014,19302014,19302014,19302014,19302014,19302014,19302014,19302014,,,,,,,19302014,,,,,,,,
19302008,,,,,,19302008,,19302008,19302008,19302008,19302008,19302008,19302008,19302008,19302008,19302008,19302008,,19302008,19302008,,19302008,,19302008,19302008,19302008,19302008,19302008,19302008,19302008,19302008,19302008,19302008,19302008,,,,,,19302008,19302008,19302008,19302008,19302008,19302008,19302008,19302008,19302008,19302008,19302008,19302008,19302008,,,,,,,19302008,,,,,,,,
19302007,,,,,,19302007,,19302007,19302007,19302007,19302007,19302007,19302007,19302007,19302007,19302007,19302007,,19302007,19302007,,,,19302007,19302007,19302008,19302007,19302007,19302007,19302007,19302007,19302007,,,,,,,,19302007,19302007,19302007,19302007,19302007,19302007,19302007,19302007,19302007,19302007,10302007,,,,,,,,,19302007,,,,,,,,
19302004,,,,,,19302004,,19302004,19302004,19302004,19302004,19302004,19302004,19302004,19302004,19302004,19302004,,19302004,19302004,,19302004,,19302004,19302004,19302004,19302004,19302004,19302004,19302004,19302004,19302004,19302004,19302004,,,,,,19302004,19302004,19302004,19302004,19302004,19302004,19302004,19302004,19302004,19302004,19302004,19302004,19302004,,,,,,,19302004,,,,,,,,
19302003,,,,,,19302003,,19302003,19302003,19302003,19302003,19302003,19302003,19302003,19302003,19302003,19302003,,19302003,19302003,,19302003,,,,19302003,19302003,19302003,19302003,19302003,19302003,19302003,19302003,19302003,,,,,,19302003,19302003,19302003,19302003,19302003,19302003,19302003,19302003,19302003,19302003,19302003,19302003,19302003,,,,,,,19302003,,,,,,,,
19302002,,,,,,19302002,,19302002,19302002,19302002,19302002,19302002,19302002,19302002,19302002,19302002,19302002,,19302002,19302002,,19302002,,19302002,19302002,19302002,19302002,19302002,19302002,19302002,19302002,19302002,19302002,19302002,,,,,,19302002,19302002,19302002,19302002,19302002,19302002,19302002,19302002,19302002,19302002,19302002,19302002,19302002,,,,,,,19302002,,,,,,,,
19202034,,,,,,19202034,,19202034,19202034,19202034,19202034,19202034,19202034,19202034,19202034,19202034,19202034,,19202034,19202034,,19202034,,19202034,19202034,19202034,19202034,19202034,19202034,19202034,19202034,19202034,19202034,19202034,,,,,,19202034,19202034,19202034,19202034,19202034,19202034,19202034,19202034,19202034,19202034,19202034,19202034,19202034,,,,,,,19202034,,,,,,,,
19202031,,,,,,19202031,,19202031,19202031,19202031,19202031,19202031,19202031,19202031,19202031,19202031,19202031,,19202031,19202031,,19202031,,19202031,19202031,19202031,19202031,19202031,19202031,19202031,19202031,19202031,19202031,19202031,19202031,19202031,19202031,19202031,19202031,19202031,19202031,19202031,19202031,19202031,19202031,19202031,19202031,19202031,19202031,19202031,19202031,19202031,,,19202031,19202031,,,19202031,,,,,,,,
19202030,,,,,,19202030,,19202030,19202030,19202030,19202030,19202030,19202030,19202030,19202030,19202030,19202030,,,19202030,,19202030,,19202030,19202030,19202030,19202030,19202030,19202030,19202030,19202030,19202030,19202030,19202030,19202030,19202030,19202030,19202030,19202030,19202030,19202030,19202030,19202030,19202030,19202030,19202030,19202030,19202030,19202030,19202030,19202030,19202030,19202030,19202030,19202030,19202030,,,19202030,19202030,,19202030,,,,,
19202029,,,,,,19202029,,19202029,19202029,19202029,19202029,19202029,19202029,19202029,19202029,19202029,19202029,,,19202029,,19202029,,19202029,19202029,19202029,19202029,19202029,19202029,19202029,19202029,19202029,19202029,19202029,19202029,19202029,19202029,19202029,19202029,19202029,19202029,19202029,19202029,19202029,19202029,19202029,19202029,19202029,19202029,19202029,19202029,19202029,19202029,19202029,19202029,19202029,,,19202029,19202029,,19202029,,,,,
19202026,,,,,,19202026,,,19202026,19202026,19202026,,19202026,19202026,19202026,19202026,19202026,,,19202026,,19202026,,19202026,19202026,19202026,19202026,19202026,19202026,19202026,19202026,,,,,,,,,19202026,,,,,,,,,,,,,,,,,,,,,,,,,,,
